ID,Content,WeiboID,DateID,DateID-Day,NickName,UserID
85,#NBA零距离#【祖巴茨暴扣加大帽】祖巴茨闪耀攻防两端，先是快下双手暴扣，接着补防大帽泽勒！ #黄蜂vs快船#  http://t.cn/Ai1W3uu8 ​,4432693527786124	,2019-10-29-11,2019-10-29,NBA,1883881851	
86,#NBA吐槽大会# 莱昂纳德上演极限拉杆秀！！#快船vs黄蜂#http://t.cn/Ai1WEJCj ​,4432693464680150	,2019-10-29-11,2019-10-29,飞翔的篮球号,2621523627	
87,发布了头条文章：《NBA常规赛强势推荐：老鹰vs热火 背靠背作战老鹰恐连败？》  http://t.cn/Ai1W3OR9 ​,4432693401820149	,2019-10-29-11,2019-10-29,料到体育,6415197408	
88,【勇士轻取鹈鹕拿下赛季首胜】勇士134-123轻取鹈鹕拿到赛季首胜，鹈鹕则遭遇4连败仍未尝胜绩！勇士方面，库里26分3板11助3断，拉塞尔24分7板8助，格林16分17板10助，达米安-李23分11板；鹈鹕方面，英格拉姆27分10板6助2断，球哥12分4板9助，哈特12分！#NBA比赛日# ​​​,4432693230228838	,2019-10-29-11,2019-10-29,体育夜猫,2947115037	
89,#奥斯曼[超话]#和雄鹿比赛很艰难 你知道他们是总冠军热门之一，和他们比赛我们看到了很多积极的东西  像我们对字母哥的防守做的不错，只让他得了14分 但是像科沃尔米德尔顿这样的射手太难防了 我们7-8分钟投丢了很多球 总体而言我们每个人都打的不错 现在比赛结束了 我们收获了很多 现在就是全身投入下 ​,4432693066749257	,2019-10-29-11,2019-10-29,翟迪·奥斯曼,6402434359	
90,#勇士赛季首胜#库里在今天的比赛中贡献26分3板11助攻3抢断！带领勇士大胜鹈鹕，拿下赛季首胜！一起来欣赏傻库本场比赛的精彩表现吧~#NBA吐槽大会# http://t.cn/Ai1Wu15w ​,4432692936938218	,2019-10-29-11,2019-10-29,库里资讯,5887147203	
91,#NBA新赛季2019# 【特雷-杨全场长传破紧逼】如何破全场防守？特雷-杨现场教学！杨底线接球遭遇全场紧逼，但他气定神闲一记四分卫长传斜角精确地给到了篮下的林恩，后者吃饼扣篮得手。#NBA零距离# #76人vs老鹰#  （来源：NBA）http://t.cn/Ai1OEYWI ​,4432692894625993	,2019-10-29-11,2019-10-29,杨凌微生活,3585367702	
92,猛龙今天的主场穿上了复古球衣，同时主场的Logo也换成了复古的图标！！#NBA吐槽大会# ​,4432692840239547	,2019-10-29-11,2019-10-29,飞翔的篮球号,2621523627	
93,滚，滚的越远越好！《宁可放弃中国市场也不道歉，原来萧华早已做好转移海外市场准备！》很多人都非常疑惑，一直都说中国是NBA最大的海外市场，中国市场每年会向NBA输送大量的薪资收入，但是为什么这一次NBA会丝毫不在意中国市场的流失。http://t.cn/Ai1WuNuF ​,4432692756071938	,2019-10-29-11,2019-10-29,月伴风荷1997,5521630736	
94,#勇士赛季首胜# 终于拿下首胜！库里VS鹈鹕砍下26分3板11助3抢断[耶][耶][耶]http://t.cn/Ai1WToYf ​,4432692663789528	,2019-10-29-11,2019-10-29,库里小爱豆,5978728905	
95,"#休斯顿火箭# #NBA[超话]# 
【球员数据】PJ 塔克
17分9篮板1助攻1抢断1封盖；
0失误4犯规，正负值+16
出手9次中6，三分7中5，罚球0； ​",4432692659705825	,2019-10-29-11,2019-10-29,休斯顿火箭,3802896629	
96,"英格拉姆这赛季开始以来四场比赛的数据：
22分5板5助攻
25分8板3助攻
35分15板5助攻
27分10板6助攻

常规操作，不算爆发，仍需努力[心]
#库里超远三分##NBA吐槽大会# ​",4432692650842527	,2019-10-29-11,2019-10-29,布兰登-英格拉姆中文网,5921915361	
